# Distance ahead of source z (m), Driving W1perp (Ohm/m/s)
-1.000000000000000000e+06,1.914432541971434176e+01
-9.549044557518077781e+05,-2.254486359758540175e+02
-9.118425196146562230e+05,-2.839924363141017238e+01
-8.707224849239904433e+05,-1.676117243420267471e+02
-8.314567805772046559e+05,-5.690204753535170994e+02
-7.939617845382259693e+05,-6.348742781452416466e+02
-7.581576457522117998e+05,-1.164254274018508340e+03
-7.239681140910877148e+05,-2.199660117747001095e+03
-6.913203779678128194e+05,-3.254885406688709281e+03
-6.601449092734883307e+05,-5.239681583524459711e+03
-6.303753153071268462e+05,-8.408225110573401253e+03
-6.019481973827262409e+05,-1.255884682183019868e+04
-5.748030158125339076e+05,-1.887416631479314310e+04
-5.488819609789677197e+05,-2.798397244164652511e+04
-5.241298302206061780e+05,-4.022766026109088853e+04
-5.004939102700953372e+05,-5.727975755099425442e+04
-4.779238649935594876e+05,-8.035328955012359074e+04
-4.563716281924754148e+05,-1.106015217404801951e+05
-4.357913012397020939e+05,-1.504052891716868908e+05
-4.161390553316698642e+05,-2.017223128642535885e+05
-3.973730381485612597e+05,-2.666924039541190723e+05
-3.794532847236942034e+05,-3.485106280835656216e+05
-3.623416323323149700e+05,-4.498772730698597152e+05
-3.460016392185108853e+05,-5.738719668341843644e+05
-3.303985069871855085e+05,-7.244052927654733649e+05
-3.154990064958081930e+05,-9.046888913845181232e+05
-3.012714070881158113e+05,-1.118414252997892443e+06
-2.876854090190585703e+05,-1.369880546597634442e+06
-2.747120789270814275e+05,-1.662364786278495332e+06
-2.623237882163123577e+05,-1.999596423630041303e+06
-2.504941542174502392e+05,-2.385783135010686703e+06
-2.391979840020237316e+05,-2.823699088045858778e+06
-2.284112207303821051e+05,-3.316450619795384817e+06
-2.181108924191515543e+05,-3.867629096412520390e+06
-2.082750630190510128e+05,-4.478983751369363628e+06
-1.988827856988811691e+05,-5.152395604869801551e+06
-1.899140582361935521e+05,-5.890416316169827245e+06
-1.813497804196495272e+05,-6.693420223570627160e+06
-1.731717133723352745e+05,-7.561667992787035182e+06
-1.653624407094178896e+05,-8.496440397830182686e+06
-1.579053314474172657e+05,-9.496617272202881053e+06
-1.507845045861047984e+05,-1.056072416160100512e+07
-1.439847952876009513e+05,-1.168874182960057445e+07
-1.374917225806420320e+05,-1.287820477368075214e+07
-1.312914585212465317e+05,-1.412601046549765579e+07
-1.253707987440919678e+05,-1.543102473561867513e+07
