# Frequency (Hz), Real Zperp (Ohm/m/m), Imaginary Zperp (Ohm/m/m)
1.000000000000000000e+00,3.155312591115659160e+01,-2.395936892250057645e+04
1.028044732093309266e+00,3.243802123029628603e+01,-2.395936640148792867e+04
1.056875971184804142e+00,3.334773288636333888e+01,-2.395936373709355757e+04
1.086515774652538235e+00,3.428295681959397001e+01,-2.395936092115955762e+04
1.116986818467823106e+00,3.524440848532267978e+01,-2.395935794506418097e+04
1.148312414543511073e+00,3.623282340111894939e+01,-2.395935479971064706e+04
1.180516528568805068e+00,3.724895770909128601e+01,-2.395935147545851578e+04
1.213623798344240834e+00,3.829358875416448171e+01,-2.395934796213449954e+04
1.247659552630869584e+00,3.936751567840280330e+01,-2.395934424898835641e+04
1.282649830528060475e+00,4.047156003202714913e+01,-2.395934032465585551e+04
1.318621401394748593e+00,4.160656640153938213e+01,-2.395933617713013882e+04
1.355601785329368481e+00,4.277340305535130938e+01,-2.395933179369983191e+04
1.393619274224142446e+00,4.397296260778352206e+01,-2.395932716097040611e+04
1.432702953409830782e+00,4.520616270119318614e+01,-2.395932226475237621e+04
1.472882723907502633e+00,4.647394670758868784e+01,-2.395931709005300581e+04
1.514189325304352129e+00,4.777728444973633515e+01,-2.395931162104138275e+04
1.556654359271061550e+00,4.911717294243990040e+01,-2.395930584097995234e+04
1.600310313738700696e+00,5.049463715453587298e+01,-2.395929973216990402e+04
1.645190587753662559e+00,5.191073079234266174e+01,-2.395929327591989932e+04
1.691329517029648066e+00,5.336653710491316360e+01,-2.395928645247513123e+04
1.738762400216250725e+00,5.486316971174585433e+01,-2.395927924093993715e+04
1.787525525904235080e+00,5.640177345387068897e+01,-2.395927161924070606e+04
1.837656200388171124e+00,5.798352526868053758e+01,-2.395926356406938794e+04
1.889192776207666347e+00,5.960963508884889706e+01,-2.395925505075059118e+04
1.942174681489025723e+00,6.128134676702181594e+01,-2.395924605323632932e+04
1.996642450109793909e+00,6.299993902584918715e+01,-2.395923654398924191e+04
2.052637752709252084e+00,6.476672643473716562e+01,-2.395922649389742219e+04
2.110203428568595552e+00,6.658306041402822473e+01,-2.395921587221423033e+04
2.169383518385184395e+00,6.845033026686982680e+01,-2.395920464642042862e+04
2.230223297965937768e+00,7.036996424038430575e+01,-2.395919278216472230e+04
2.292769312865649223e+00,7.234343061596274538e+01,-2.395918024312315902e+04
2.357069413996727647e+00,7.437223883053161444e+01,-2.395916699092829003e+04
2.423172794237599348e+00,7.645794062859701512e+01,-2.395915298502097357e+04
2.491130026067788883e+00,7.860213124680919350e+01,-2.395913818253774298e+04
2.560993100258458721e+00,8.080645063124995886e+01,-2.395912253816310476e+04
2.632815465648020936e+00,8.307258468911682314e+01,-2.395910600402926138e+04
2.706652070033241486e+00,8.540226657471066574e+01,-2.395908852952479720e+04
2.782559402207124499e+00,8.779727801175899060e+01,-2.395907006116699995e+04
2.860595535175742388e+00,9.025945065239207565e+01,-2.395905054244126586e+04
2.940820170587063132e+00,9.279066747379226854e+01,-2.395902991360907254e+04
3.023294684405777311e+00,9.539286421391136628e+01,-2.395900811152085589e+04
3.108082173869064047e+00,9.806803084733940068e+01,-2.395898506947654460e+04
3.195247505759212014e+00,1.008182131014320646e+02,-2.395896071693590420e+04
3.284857366030044634e+00,1.036455140157342214e+02,-2.395893497938499422e+04
3.376980310825090648e+00,1.065520955435427908e+02,-2.395890777804528989e+04
3.471686818926561280e+00,1.095401801988322887e+02,-2.395887902967810442e+04
3.569049345675229468e+00,1.126120527483967209e+02,-2.395884864629455478e+04
3.669142378402493243e+00,1.157700619511286391e+02,-2.395881653491893303e+04
3.772042493416998266e+00,1.190166223453376659e+02,-2.395878259727709155e+04
3.877828414589456152e+00,1.223542160858222729e+02,-2.395874672951928733e+04
3.986581073580441004e+00,1.257853948312252754e+02,-2.395870882186283052e+04
4.098383671757261482e+00,1.293127816845694440e+02,-2.395866875831543803e+04
4.213321743847288303e+00,1.329390731862662278e+02,-2.395862641626600453e+04
4.331483223376399572e+00,1.366670413630519647e+02,-2.395858166614535367e+04
4.452958509942654963e+00,1.404995358329632325e+02,-2.395853437101530653e+04
4.577840538376618973e+00,1.444394859684184382e+02,-2.395848438614736006e+04
4.706224849841281532e+00,1.484899031187514709e+02,-2.395843155857915917e+04
4.838209664925956055e+00,1.526538828943118915e+02,-2.395837572666490087e+04
4.973895958790063965e+00,1.569346075126417190e+02,-2.395831671955855199e+04
5.113387538414325917e+00,1.613353482093842217e+02,-2.395825435670038496e+04
5.256791122018421802e+00,1.658594677154212889e+02,-2.395818844727321630e+04
5.404216420705916235e+00,1.705104228013218517e+02,-2.395811878960298418e+04
5.555776222398876030e+00,1.752917668916918501e+02,-2.395804517055903489e+04
5.711586478126432276e+00,1.802071527506871007e+02,-2.395796736488875104e+04
5.871766390733255570e+00,1.852603352405509725e+02,-2.395788513452854750e+04
6.036438506075866961e+00,1.904551741556184368e+02,-2.395779822789229729e+04
6.205728806776502182e+00,1.957956371325064140e+02,-2.395770637908222488e+04
6.379766808606280648e+00,2.012858026402004725e+02,-2.395760930710578032e+04
6.558685659571431792e+00,2.069298630494186568e+02,-2.395750671497681105e+04
6.742622241778342129e+00,2.127321277864706133e+02,-2.395739828884087547e+04
6.931717276155406005e+00,2.186970265710756109e+02,-2.395728369701685369e+04
7.126115430111747528e+00,2.248291127403326470e+02,-2.395716258892957921e+04
7.325965428215230446e+00,2.311330666641654830e+02,-2.395703459412850134e+04
7.531420165974371805e+00,2.376136992491066735e+02,-2.395689932108553694e+04
7.742636826811269302e+00,2.442759555374693434e+02,-2.395675635603823685e+04
7.959777002314983640e+00,2.511249184004997801e+02,-2.395660526168666183e+04
8.183006815867392092e+00,2.581658123310901374e+02,-2.395644557591693228e+04
8.412497049736117560e+00,2.654040073343729205e+02,-2.395627681033790213e+04
8.648423275731722981e+00,2.728450229218121308e+02,-2.395609844880288802e+04
8.890965989529160396e+00,2.804945322104219372e+02,-2.395590994587613022e+04
9.140310748756229842e+00,2.883583661263525073e+02,-2.395571072510856538e+04
9.396648314954692438e+00,2.964425177199191239e+02,-2.395550017731099433e+04
9.660174799522645017e+00,3.047531465911866349e+02,-2.395527765869938230e+04
9.931091813749794994e+00,3.132965834287517737e+02,-2.395504248892893884e+04
1.020960662306046451e+01,3.220793346649505793e+02,-2.395479394901504202e+04
1.049593230558227752e+01,3.311080872488289515e+02,-2.395453127913480785e+04
1.079028791516184071e+01,3.403897135403796597e+02,-2.395425367634370559e+04
1.109289864895222699e+01,3.499312763265514832e+02,-2.395396029209413609e+04
1.140399601970032428e+01,3.597400339622669208e+02,-2.395365022967179175e+04
1.172381803286598512e+01,3.698234456397291297e+02,-2.395332254148419815e+04
1.205260936870842592e+01,3.801891767838118881e+02,-2.395297622612259511e+04
1.239062156947916193e+01,3.908451045814928193e+02,-2.395261022535501615e+04
1.273811323186478539e+01,4.017993236442120519e+02,-2.395222342093468978e+04
1.309535020482667100e+01,4.130601518022510277e+02,-2.395181463114956205e+04
1.346260579298910365e+01,4.246361360381088730e+02,-2.395138260724632346e+04
1.384016096573131627e+01,4.365360585581956911e+02,-2.395092602966774939e+04
1.422830457214352684e+01,4.487689430024773856e+02,-2.395044350401122574e+04
1.462733356201129808e+01,4.613440607958464170e+02,-2.394993355681449975e+04
1.503755321299737702e+01,4.742709376426970493e+02,-2.394939463110487486e+04
1.545927736419477760e+01,4.875593601610910355e+02,-2.394882508163081002e+04
1.589282865622977958e+01,5.012193826644787009e+02,-2.394822316993385539e+04
1.633853877809861288e+01,5.152613340846770598e+02,-2.394758705906882460e+04
1.679674872092653004e+01,5.296958250385607698e+02,-2.394691480802472142e+04
1.726780903884355922e+01,5.445337550400677173e+02,-2.394620436587773656e+04
1.775208011717635159e+01,5.597863198541892871e+02,-2.394545356560364235e+04
1.824993244816152327e+01,5.754650189926396706e+02,-2.394466011751026599e+04
1.876174691439120323e+01,5.915816633501297019e+02,-2.394382160234311232e+04
1.928791508020777812e+01,6.081483829814133060e+02,-2.394293546403121945e+04
1.982883949127071332e+01,6.251776350073283766e+02,-2.394199900190021071e+04
2.038493398252463251e+01,6.426822116631600466e+02,-2.394100936265676501e+04
2.095662399480432825e+01,6.606752484660333948e+02,-2.393996353172839372e+04
2.154434690031883193e+01,6.791702325138169272e+02,-2.393885832426881461e+04
2.214855233726359174e+01,6.981810108965817108e+02,-2.393769037556614421e+04
2.276970255381679920e+01,7.177217992255642685e+02,-2.393645613100798437e+04
2.340827276178293204e+01,7.378071902608368191e+02,-2.393515183539063946e+04
2.406475150015424092e+01,7.584521626421865221e+02,-2.393377352177457578e+04
2.473964100886813000e+01,7.796720896995091152e+02,-2.393231699959278558e+04
2.543345761304649599e+01,8.014827483421750003e+02,-2.393077784216738291e+04
2.614673211801092023e+01,8.239003280130476696e+02,-2.392915137358761785e+04
2.688001021537606050e+01,8.469414396871179633e+02,-2.392743265478794274e+04
2.763385290053169996e+01,8.706231249068422358e+02,-2.392561646891657074e+04
2.840883690183302690e+01,8.949628648316817134e+02,-2.392369730590314066e+04
2.920555512182746583e+01,9.199785892855077236e+02,-2.392166934619696622e+04
3.002461709085549302e+01,9.456886857739247034e+02,-2.391952644358736507e+04
3.086664943337272859e+01,9.721120084587059864e+02,-2.391726210718138827e+04
3.173229634734976301e+01,9.992678870488061875e+02,-2.391486948231899805e+04
3.262222009711669557e+01,1.027176135587743374e+03,-2.391234133053106416e+04
3.353710152002930300e+01,1.055857061104335799e+03,-2.390967000842587368e+04
3.447764054734464167e+01,1.085331472082941445e+03,-2.390684744542654880e+04
3.544455673970433907e+01,1.115620686722488472e+03,-2.390386512034840052e+04
3.643858983763544757e+01,1.146746540936424026e+03,-2.390071403676192494e+04
3.746050032748993175e+01,1.178731396047246108e+03,-2.389738469705546959e+04
3.851107002325570505e+01,1.211598146117369652e+03,-2.389386707512083740e+04
3.959110266468458406e+01,1.245370224870828224e+03,-2.389015058768234667e+04
4.070142453219436618e+01,1.280071612128898551e+03,-2.388622406408593451e+04
4.184288507901582221e+01,1.315726839702536381e+03,-2.388207571460619147e+04
4.301635758106795038e+01,1.352360996661594299e+03,-2.387769309711052847e+04
4.422273980505899260e+01,1.389999733898086561e+03,-2.387306308204675952e+04
4.546295469532399380e+01,1.428669267894582617e+03,-2.386817181566642466e+04
4.673795107992461340e+01,1.468396383609251870e+03,-2.386300468147114952e+04
4.804870439655131520e+01,1.509208436358621611e+03,-2.385754625971600399e+04
4.939621743878320359e+01,1.551133352597849353e+03,-2.385178028497518608e+04
5.078152112327673251e+01,1.594199629459219750e+03,-2.384568960161076029e+04
5.220567527846975509e+01,1.638436332937139696e+03,-2.383925611722030953e+04
5.366976945540476152e+01,1.683873094546338280e+03,-2.383246075378129535e+04
5.517492376129126086e+01,1.730540106320016321e+03,-2.382528339658990080e+04
5.672228971644543805e+01,1.778468113969499200e+03,-2.381770284087270193e+04
5.831305113526221362e+01,1.827688408015827235e+03,-2.380969673593957486e+04
5.994842503189408944e+01,1.878232812709567725e+03,-2.380124152692014104e+04
6.162966255132942450e+01,1.930133672507352003e+03,-2.379231239388326867e+04
6.335804992658250967e+01,1.983423835902969813e+03,-2.378288318845956746e+04
6.513490946272803228e+01,2.038136636336638958e+03,-2.377292636773454069e+04
6.696160054853218924e+01,2.094305869944867936e+03,-2.376241292549616992e+04
6.883952069645496863e+01,2.151965769845847262e+03,-2.375131232070421902e+04
7.077010661181888906e+01,2.211150976679541145e+03,-2.373959240326119107e+04
7.275483529196229426e+01,2.271896505056448405e+03,-2.372721933695846747e+04
7.479522515621820844e+01,2.334237705589428060e+03,-2.371415751969055782e+04
7.689283720758309926e+01,2.398210222125861037e+03,-2.370036950090175014e+04
7.904927622696423839e+01,2.463849943791885835e+03,-2.368581589627671565e+04
8.126619200091946027e+01,2.531192951439033550e+03,-2.367045529981831714e+04
8.354528058382867073e+01,2.600275458041622642e+03,-2.365424419330744058e+04
8.588828559546249153e+01,2.671133742590177462e+03,-2.363713685330058433e+04
8.829699955494086794e+01,2.743804076971705399e+03,-2.361908525575520980e+04
9.077326525210227715e+01,2.818322645336532787e+03,-2.360003897852297450e+04
9.331897715733238385e+01,2.894725455397343467e+03,-2.357994510188235654e+04
9.593608287093141485e+01,2.973048241087032238e+03,-2.355874810735886786e+04
9.862658461312820180e+01,3.053326355991921901e+03,-2.353638977516091472e+04
1.013925407558815266e+02,3.135594656927054530e+03,-2.351280908057484703e+04
1.042360673976401131e+02,3.219887377029568142e+03,-2.348794208976457230e+04
1.071593399822671131e+02,3.306237987695020820e+03,-2.346172185543230080e+04
1.101645949633656869e+02,3.394679048685489306e+03,-2.343407831289169189e+04
1.132541315152811450e+02,3.485242045719333419e+03,-2.340493817724566543e+04
1.164303132920876749e+02,3.577957214835245850e+03,-2.337422484231023918e+04
1.196955702359042846e+02,3.672853352837028524e+03,-2.334185828218624738e+04
1.230524004359261596e+02,3.769957613094936278e+03,-2.330775495630545993e+04
1.265033720395903742e+02,3.869295286050456525e+03,-2.327182771911752570e+04
1.300511252173408536e+02,3.970889563685336725e+03,-2.323398573534928073e+04
1.336983741824946605e+02,4.074761287392228496e+03,-2.319413440237883697e+04
1.374479092677536585e+02,4.180928678560298067e+03,-2.315217528087889877e+04
1.413025990599533657e+02,4.289407051372822025e+03,-2.310800603541406963e+04
1.452653925946781328e+02,4.400208507330003158e+03,-2.306152038667903616e+04
1.493393216124251808e+02,4.513341611071939042e+03,-2.301260807715620831e+04
1.535275028780422701e+02,4.628811047247766510e+03,-2.296115485227050885e+04
1.578331405652118065e+02,4.746617258234576184e+03,-2.290704245915729189e+04
1.622595287078087267e+02,4.866756062716534871e+03,-2.285014866540973526e+04
1.668100537200059250e+02,4.989218255270020563e+03,-2.279034730028356353e+04
1.714881969870539251e+02,5.113989187341370780e+03,-2.272750832105267546e+04
